person_id,first_name,last_name,home_address,admin_address,admin_city,has_car,car_type,car_model,car_capacity,fiscal_hp
1,Étienne,Lemonnier,"1, chemin Lefort, 39366 Chauveau","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5,6
2,Amélie,Chauveau,"boulevard Brun, 39396 Sainte Thomas","Université de Franche-Comté, Belfort",Belfort,False,,,,
3,Christophe,Marty,"572, boulevard Richard, 68694 Carre","Université de Franche-Comté, Montbéliard",Montbéliard,True,electric,Tesla Model 3,5,10
4,Andrée,Baron,"62, chemin Voisin, 36833 Sainte Éléonorenec","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
5,Alex,Aubry,"724, boulevard de Simon, 90620 NoëlVille","Université de Franche-Comté, Besançon",Besançon,True,diesel,Renault Clio,5,4
6,Pénélope,Lefebvre,"3, boulevard Henriette Perez, 39376 Saint Lucy","Université de Franche-Comté, Besançon",Besançon,False,,,,
7,Paulette,Chartier,"65, rue Rey, 97472 Martydan","Université de Franche-Comté, Besançon",Besançon,False,,,,
8,Claire,Legendre,"61, boulevard de Buisson, 74902 Aubry","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,9
9,Marine,Dubois,"2, boulevard Chartier, 56773 BaillyVille","Université de Franche-Comté, Besançon",Besançon,False,,,,
10,Rémy,Dupuis,"5, boulevard de Guillou, 60533 Auger-sur-Thomas","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,9
11,Pénélope,Maillot,"1, rue Leroux, 08431 Hebert","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,4
12,Laetitia,Maury,"15, rue Costa, 90831 Pelletier","Université de Franche-Comté, Besançon",Besançon,False,,,,
13,Margaud,Rivière,"3, rue Brunel, 97147 Peltier-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,8
14,Valentine,Antoine,"11, boulevard de Guyon, 59602 Carrenec","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
15,Suzanne,Dumas,"742, boulevard Pottier, 02505 Letellier","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,6
16,Isaac,Gimenez,"58, rue de Lucas, 83602 Saint Clémence-la-Forêt","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,6
17,Nicole,Besson,"94, rue Samson, 76461 Bigot","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5,8
18,Pauline,Chauvin,"rue Célina Petitjean, 25316 ToussaintBourg","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,6
19,Monique,Gaillard,"56, boulevard Philippe Letellier, 77511 Andre","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,9
20,Anouk,Gimenez,"156, avenue Garcia, 49153 Verdier","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,4
21,Susanne,Vallée,"32, chemin de Rousseau, 46966 Gros-sur-Gauthier","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,5
22,Émile,Rolland,"8, boulevard Alice Regnier, 73973 Maréchal","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,5
23,Simone,Masse,"rue Maryse Dumont, 63568 Schneider-les-Bains","Université de Franche-Comté, Besançon",Besançon,True,electric,Tesla Model 3,5,10
24,Joséphine,Leroy,"63, rue Gabriel Charpentier, 78372 Delannoy","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5,4
25,Sabine,Roy,"997, chemin Pottier, 03938 Torres","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5,8
26,Thibaut,Jacquot,"avenue Marianne Antoine, 81505 David","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5,9
