mission_id,person_id,start_city,end_city,start_date,end_date,event,real_move,travel_type,vehicle_type,is_return_trip,km,parking_cost,hotel_cost,plane_cost,reimbursement,total_cost,nearest_airport,first_name,last_name,home_address,admin_address,admin_city,has_car,car_type_x,car_model,car_capacity,fiscal_hp,car_type_y,co2_per_km,energy_per_km,start_hour,cluster_agnes
1,1,Montbéliard,Strasbourg,2025-05-04 09:00:00,2025-05-06 08:00:00,Conference,True,plane,,0,140,0,200,120,135,455,Basel-Mulhouse,Étienne,Lemonnier,"1, chemin Lefort, 39366 Chauveau","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5.0,6.0,diesel,0.155,,9,8
2,2,Belfort,Paris,2025-05-04 15:45:00,2025-05-07 14:45:00,Conference,True,plane,,1,732,0,300,120,143,563,Basel-Mulhouse,Amélie,Chauveau,"boulevard Brun, 39396 Sainte Thomas","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,15,1
3,3,Montbéliard,Paris,2025-05-01 16:00:00,2025-05-02 20:15:00,Training,True,plane,,0,507,0,100,120,149,369,Basel-Mulhouse,Christophe,Marty,"572, boulevard Richard, 68694 Carre","Université de Franche-Comté, Montbéliard",Montbéliard,True,electric,Tesla Model 3,5.0,10.0,electric,0.03,0.15,16,0
4,4,Montbéliard,Strasbourg,2025-05-03 15:15:00,2025-05-04 19:45:00,Training,True,plane,,0,779,0,100,120,131,351,Basel-Mulhouse,Andrée,Baron,"62, chemin Voisin, 36833 Sainte Éléonorenec","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,15,3
5,5,Besançon,Strasbourg,2025-05-02 18:45:00,2025-05-04 13:15:00,Meeting,True,plane,,0,457,0,200,120,106,426,Dole-Jura,Alex,Aubry,"724, boulevard de Simon, 90620 NoëlVille","Université de Franche-Comté, Besançon",Besançon,True,diesel,Renault Clio,5.0,4.0,diesel,0.16,,18,6
6,6,Besançon,Strasbourg,2025-05-11 15:45:00,2025-05-12 20:30:00,Meeting,True,car,,0,653,10,100,0,119,229,,Pénélope,Lefebvre,"3, boulevard Henriette Perez, 39376 Saint Lucy","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,15,3
7,7,Besançon,Dijon,2025-05-06 14:45:00,2025-05-09 08:45:00,Training,True,car,,1,772,30,300,0,117,447,,Paulette,Chartier,"65, rue Rey, 97472 Martydan","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,14,1
8,8,Montbéliard,Marseille,2025-05-03 17:30:00,2025-05-04 10:45:00,Conference,True,plane,,1,555,0,100,120,136,356,Basel-Mulhouse,Claire,Legendre,"61, boulevard de Buisson, 74902 Aubry","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5.0,9.0,gasoline,0.185,,17,1
9,9,Besançon,Dijon,2025-05-08 10:15:00,2025-05-09 12:00:00,Meeting,True,car,,0,210,10,100,0,115,225,,Marine,Dubois,"2, boulevard Chartier, 56773 BaillyVille","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,10,5
10,10,Belfort,Strasbourg,2025-05-01 20:15:00,2025-05-03 15:00:00,Meeting,True,car,Renault Clio,1,673,20,200,0,80,300,,Rémy,Dupuis,"5, boulevard de Guillou, 60533 Auger-sur-Thomas","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5.0,9.0,diesel,0.16,,20,1
11,11,Montbéliard,Lyon,2025-05-06 15:45:00,2025-05-07 19:30:00,Meeting,True,car,Renault Clio,1,729,10,100,0,104,214,,Pénélope,Maillot,"1, rue Leroux, 08431 Hebert","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5.0,4.0,diesel,0.16,,15,1
12,12,Besançon,Lyon,2025-05-09 09:45:00,2025-05-12 14:00:00,Conference,True,car,,0,455,30,300,0,133,463,,Laetitia,Maury,"15, rue Costa, 90831 Pelletier","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,9,6
13,13,Besançon,Dijon,2025-05-04 19:15:00,2025-05-05 10:15:00,Conference,True,plane,,1,111,0,100,120,91,311,Dole-Jura,Margaud,Rivière,"3, rue Brunel, 97147 Peltier-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4.0,8.0,gasoline,0.17,,19,2
14,14,Montbéliard,Lyon,2025-05-05 12:15:00,2025-05-08 11:00:00,Meeting,True,car,,1,148,30,300,0,110,440,,Valentine,Antoine,"11, boulevard de Guyon, 59602 Carrenec","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,12,4
15,15,Belfort,Paris,2025-05-11 11:15:00,2025-05-14 07:00:00,Meeting,True,plane,,0,235,0,300,120,150,570,Basel-Mulhouse,Suzanne,Dumas,"742, boulevard Pottier, 02505 Letellier","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5.0,6.0,hybrid,0.1,,11,0
16,16,Belfort,Dijon,2025-05-11 07:00:00,2025-05-12 13:00:00,Training,True,car,Audi A4,1,103,10,100,0,109,219,,Isaac,Gimenez,"58, rue de Lucas, 83602 Saint Clémence-la-Forêt","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5.0,6.0,gasoline,0.185,,7,2
17,17,Montbéliard,Paris,2025-05-06 07:30:00,2025-05-08 12:45:00,Meeting,True,car,Toyota Prius,0,252,20,200,0,106,326,,Nicole,Besson,"94, rue Samson, 76461 Bigot","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5.0,8.0,hybrid,0.1,,7,5
18,18,Belfort,Toulouse,2025-05-07 15:45:00,2025-05-08 15:30:00,Meeting,True,plane,,0,102,0,100,120,111,331,Basel-Mulhouse,Pauline,Chauvin,"rue Célina Petitjean, 25316 ToussaintBourg","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5.0,6.0,gasoline,0.185,,15,8
19,19,Montbéliard,Lyon,2025-05-01 17:00:00,2025-05-02 18:45:00,Meeting,True,car,Renault Clio,1,795,10,100,0,116,226,,Monique,Gaillard,"56, boulevard Philippe Letellier, 77511 Andre","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5.0,9.0,diesel,0.16,,17,1
20,20,Belfort,Dijon,2025-05-01 07:00:00,2025-05-02 18:30:00,Meeting,True,plane,,0,387,0,100,120,96,316,Basel-Mulhouse,Anouk,Gimenez,"156, avenue Garcia, 49153 Verdier","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5.0,4.0,hybrid,0.1,,7,5
21,21,Besançon,Lyon,2025-05-04 10:30:00,2025-05-07 16:15:00,Meeting,True,plane,,0,645,0,300,120,105,525,Dole-Jura,Susanne,Vallée,"32, chemin de Rousseau, 46966 Gros-sur-Gauthier","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5.0,5.0,diesel,0.155,,10,6
22,22,Besançon,Nice,2025-05-07 12:30:00,2025-05-08 16:00:00,Meeting,True,plane,,0,554,0,100,120,79,299,Dole-Jura,Émile,Rolland,"8, boulevard Alice Regnier, 73973 Maréchal","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5.0,5.0,hybrid,0.1,,12,5
23,23,Besançon,Lyon,2025-05-07 08:15:00,2025-05-08 06:00:00,Training,True,plane,,1,603,0,100,120,59,279,Dole-Jura,Simone,Masse,"rue Maryse Dumont, 63568 Schneider-les-Bains","Université de Franche-Comté, Besançon",Besançon,True,electric,Tesla Model 3,5.0,10.0,electric,0.03,0.15,8,7
24,24,Besançon,Lyon,2025-05-09 18:15:00,2025-05-12 17:00:00,Training,True,car,Audi A4,0,496,30,300,0,133,463,,Joséphine,Leroy,"63, rue Gabriel Charpentier, 78372 Delannoy","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5.0,4.0,gasoline,0.185,,18,6
25,25,Besançon,Nice,2025-05-11 09:00:00,2025-05-13 12:15:00,Conference,True,car,Audi A4,1,423,20,200,0,101,321,,Sabine,Roy,"997, chemin Pottier, 03938 Torres","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5.0,8.0,gasoline,0.185,,9,2
26,26,Montbéliard,Strasbourg,2025-05-09 06:00:00,2025-05-10 20:00:00,Conference,True,car,Toyota Prius,1,221,10,100,0,60,170,,Thibaut,Jacquot,"avenue Marianne Antoine, 81505 David","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5.0,9.0,hybrid,0.1,,6,2
27,27,Besançon,Nice,2025-05-09 20:45:00,2025-05-10 12:15:00,Meeting,True,car,Audi A4,0,505,10,100,0,132,242,,Théophile,De Sousa,"24, rue Becker, 44713 Collin","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5.0,8.0,gasoline,0.185,,20,5
28,28,Belfort,Nice,2025-05-06 06:15:00,2025-05-08 15:45:00,Training,True,car,,1,487,20,200,0,112,332,,Suzanne,Vallet,"rue de Bourgeois, 33835 Maréchal-sur-Morvan","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,6,2
29,29,Besançon,Marseille,2025-05-06 09:00:00,2025-05-07 10:45:00,Training,True,plane,,0,198,0,100,120,93,313,Dole-Jura,Nicolas,Allard,"495, chemin Emmanuelle Lopes, 73862 Briand-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5.0,7.0,hybrid,0.1,,9,5
30,30,Montbéliard,Toulouse,2025-05-06 14:00:00,2025-05-08 12:00:00,Meeting,True,plane,,1,629,0,200,120,105,425,Basel-Mulhouse,Inès,Morin,"3, rue de Charpentier, 09785 Marieboeuf","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,14,1
31,31,Belfort,Marseille,2025-05-05 07:00:00,2025-05-08 07:45:00,Meeting,True,car,,0,415,30,300,0,124,454,,Sébastien,Perrier,"35, rue de Da Costa, 29804 Voisin","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,7,6
32,32,Montbéliard,Toulouse,2025-05-03 17:30:00,2025-05-04 17:15:00,Meeting,True,plane,,1,184,0,100,120,145,365,Basel-Mulhouse,Chantal,Voisin,"38, chemin Claudine Legendre, 04871 Hoareau","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,17,4
33,33,Belfort,Strasbourg,2025-05-08 18:45:00,2025-05-09 12:15:00,Conference,True,plane,,1,734,0,100,120,53,273,Basel-Mulhouse,Laure,Merle,"973, rue Gérard Chauvin, 24636 Becker","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5.0,5.0,diesel,0.16,,18,1
